11:17:05.330 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:17:05.332 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
11:22:50.966 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:22:50.966 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
11:23:08.140 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:23:08.141 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
11:24:39.628 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:24:39.628 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
11:26:18.765 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:26:18.767 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
11:27:34.132 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:27:34.133 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
11:27:44.608 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:27:44.608 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
11:32:30.503 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:32:30.503 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
11:56:34.598 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:56:34.599 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
11:56:56.252 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:56:56.252 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
11:57:25.368 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
11:57:25.368 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
12:45:24.899 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
12:45:24.901 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
12:46:36.558 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
12:46:36.558 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
12:46:50.317 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
12:46:50.317 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
12:47:36.055 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
12:47:36.055 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
12:48:22.023 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
12:48:22.023 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
12:49:47.327 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
12:49:47.328 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
12:51:13.449 [AWT-EventQueue-0] INFO  c.b.l.BrowserStackRunExtension - gradle
12:51:13.450 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
